Url;Date;Tweet ID;Tweet Place;User;User place;Retweet Count;Reply Count
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 16:56:47 +0000 2016;683331111964028929;;rafios;;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 16:49:30 +0000 2016;683329278864453632;;ZHU_DE;Pudong;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 16:14:18 +0000 2016;683320420120969216;;OccuWorld;Earth;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 16:04:21 +0000 2016;683317915320332289;;UncleRuthless;Digging Deeper;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 15:57:21 +0000 2016;683316153536622592;;AdnanDarwash;;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 14:12:25 +0000 2016;683289748199223296;;365Syria;;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 14:09:39 +0000 2016;683289053299511297;;Hurshal;HNG Global;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 14:07:25 +0000 2016;683288488440016897;;yazi7777;;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 14:02:04 +0000 2016;683287144794738690;;AmericanSyrians;USA;1.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:58:35 +0000 2016;683286265513418753;;Syrianewsreport;California;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:45:12 +0000 2016;683282896824602624;;SyriaConflict;;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:18:15 +0000 2016;683276116421820416;;InfoTerrorism;Brighton,UK;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:17:29 +0000 2016;683275921936130049;;zikyzoo;Vancouver BC;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:07 +0000 2016;683275581472043008;;Santamambisa;La Habana;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:07 +0000 2016;683275578183647232;;Santamambisa;La Habana;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:05 +0000 2016;683275570285682688;;rinnova_nrg;ITALIA;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:04 +0000 2016;683275568352116738;;TaNeaOnline;Λευκωσία, Κύπρος - Cyprus;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:03 +0000 2016;683275562954002433;;MindFringe;United States;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:02 +0000 2016;683275557472043008;;totalcollapse;;1.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:02 +0000 2016;683275556800970752;;venicequeen92;;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:16:00 +0000 2016;683275549108604928;;Santamambisa;La Habana;0.0;0.0
http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872;Sat Jan 02 13:15:58 +0000 2016;683275543630888960;;barboss5;;0.0;0.0
